{3.`32., Around[-4.2610343674235906*^-11, 3.9641812960832305*^-12]}
{3.5`32., Around[-4.443373554054211*^-11, 2.3265984295367756*^-12]}
{4.`32., Around[-5.279247323183209*^-11, 3.598260287966005*^-12]}
{4.5`32., Around[-3.654805209678908*^-11, 8.3043756636584*^-12]}
{5.`32., Around[-3.7376468338659706*^-11, 2.010718933035942*^-12]}
{5.5`32., Around[0.15755952071448653, 0.006939894883857503]}
{6.`32., Around[0.4199693921056845, 0.04585963055698869]}
{6.5`32., Around[0.4057992908548916, 0.012630722669581707]}
{7.`32., Around[0.1892973692479031, 0.005555668847723683]}
{7.5`32., Around[0.0885257116070931, 0.0009101151635977425]}
{8.`32., Around[0.0431905927870474, 0.0007245977406907245]}
{8.5`32., Around[0.02141085980593828, 0.0011139736389886926]}
{9.`32., Around[1.3252215064681714*^16, 1.3252215064681714*^16]}
{9.5`32., Around[0.16520392201247333, 0.0254182737900652]}
{10.`32., Around[0.18669763895464697, 0.021440434582979256]}
